SKU,EAN,STOCK,STATUS
5913589,8720689043076,15,instock
5906234,8710103993186,0,outofstock
5906235,8720689016575,0,outofstock
5906236,8720689016865,0,outofstock
5906237,8720689016872,0,outofstock
5906238,8720689016889,0,outofstock
5906239,8720689016551,0,outofstock
5906240,8720689016735,0,outofstock
5906241,8720689016582,0,outofstock
5906242,8720689016568,15,instock
5913244,8720689042406,1,instock
5913843,8720689041652,5,instock
5913588,8720689041669,5,instock
5913587,8720689041683,5,instock
5913845,8720689041690,0,outofstock
5913846,8720689041300,5,instock
5913586,8720689041317,15,instock
5913585,8720689041324,5,instock
5909360,8720689026437,0,outofstock
5913576,8720689041577,5,instock
5913577,8720689041584,15,instock
5914806,8720689049610,5,instock
5914807,8720689049627,5,instock
5914808,8720689049634,5,instock
5914809,8720689049641,1,instock
5914850,8720689049658,5,instock
786387,8710103991618,0,outofstock
786388,8710103991625,0,outofstock
5913841,8720689043250,1,instock
5913839,8720689043274,0,outofstock
7581,5012909006941,1,instock
1503,5012909006156,5,instock
777931,8710103907640,5,instock
778127,8710103907732,5,instock
778161,8710103845768,15,instock
771532,8710103980421,15,instock
771621,8710103980438,15,instock
5903689,8710103990819,0,outofstock
6432,8710103558729,1,instock
783338,8710103941620,0,outofstock
787867,8710103982678,0,outofstock
5906243,8720689017091,1,instock
5906244,8720689016599,15,instock
5909029,8720689026383,1,instock
5913575,8720689042482,0,outofstock
5913574,8720689042499,5,instock
5913573,8720689044080,5,instock
784026,8710103962076,0,outofstock
790828,8720689002158,0,outofstock
779728,8710103923084,0,outofstock
5913571,8720689046138,1,instock
788637,8710103982708,0,outofstock
5906245,8720689016636,0,outofstock
5906246,8720689016643,0,outofstock
5906247,8720689016667,0,outofstock
5906248,8720689016162,0,outofstock
5909030,8720689026451,0,outofstock
5913569,8720689042505,1,instock
5913242,8720689042109,15,instock
5913243,8720689042116,15,instock
5913838,8720689042512,0,outofstock
5913840,8720689042529,1,instock
5913578,8720689042857,1,instock
5913580,8720689042864,0,outofstock
